"","time","location","Location_name","rating"
"222","2020-04-06 02:25:00",11,"Terrapin",9
"223","2020-04-06 02:25:00",14,"Easton",NA
"224","2020-04-06 02:25:00",19,"West Parton",NA
"225","2020-04-06 02:30:00",1,"Palace Hills",4
"226","2020-04-06 02:30:00",3,"Old Town",8
"227","2020-04-06 02:30:00",8,"Scenic Vista",NA
"228","2020-04-06 02:30:00",9,"Broadview",3
"229","2020-04-06 02:30:00",12,"Pepper Mill",NA
"230","2020-04-06 02:30:00",19,"West Parton",NA
"231","2020-04-06 02:35:00",4,"Safe Town",NA
"232","2020-04-06 02:35:00",6,"Downtown",5
"233","2020-04-06 02:35:00",6,"Downtown",2
"234","2020-04-06 02:35:00",8,"Scenic Vista",NA
"235","2020-04-06 02:35:00",8,"Scenic Vista",NA
"236","2020-04-06 02:35:00",8,"Scenic Vista",NA
"237","2020-04-06 02:35:00",8,"Scenic Vista",NA
"238","2020-04-06 02:35:00",9,"Broadview",10
"239","2020-04-06 02:35:00",9,"Broadview",5
"240","2020-04-06 02:35:00",15,"Weston",NA
"241","2020-04-06 02:35:00",19,"West Parton",NA
"242","2020-04-06 02:40:00",2,"Northwest",NA
"243","2020-04-06 02:40:00",3,"Old Town",10
"244","2020-04-06 02:40:00",6,"Downtown",10
"245","2020-04-06 02:40:00",8,"Scenic Vista",NA
"246","2020-04-06 02:40:00",9,"Broadview",1
"247","2020-04-06 02:40:00",14,"Easton",NA
"248","2020-04-06 02:40:00",16,"Southton",0
"249","2020-04-06 02:45:00",2,"Northwest",2
"250","2020-04-06 02:45:00",2,"Northwest",NA
"251","2020-04-06 02:45:00",6,"Downtown",0
"252","2020-04-06 02:45:00",11,"Terrapin",10
"253","2020-04-06 02:45:00",15,"Weston",NA
"254","2020-04-06 02:45:00",19,"West Parton",NA
"255","2020-04-06 02:50:00",5,"Southwest",10
"256","2020-04-06 02:50:00",6,"Downtown",10
"257","2020-04-06 02:50:00",6,"Downtown",1
"258","2020-04-06 02:50:00",8,"Scenic Vista",NA
"259","2020-04-06 02:50:00",9,"Broadview",8
"260","2020-04-06 02:50:00",9,"Broadview",5
"261","2020-04-06 02:50:00",10,"Chapparal",NA
"262","2020-04-06 02:50:00",11,"Terrapin",0
"263","2020-04-06 02:50:00",15,"Weston",NA
"264","2020-04-06 02:50:00",15,"Weston",NA
"265","2020-04-06 02:50:00",15,"Weston",NA
"266","2020-04-06 02:55:00",2,"Northwest",NA
"267","2020-04-06 02:55:00",6,"Downtown",1
"268","2020-04-06 02:55:00",9,"Broadview",3
"269","2020-04-06 02:55:00",9,"Broadview",0
"270","2020-04-06 02:55:00",11,"Terrapin",5
"271","2020-04-06 02:55:00",12,"Pepper Mill",NA
"272","2020-04-06 02:55:00",15,"Weston",NA
"273","2020-04-06 02:55:00",16,"Southton",10
"274","2020-04-06 03:00:00",1,"Palace Hills",10
"275","2020-04-06 03:00:00",2,"Northwest",NA
"276","2020-04-06 03:00:00",2,"Northwest",NA
"277","2020-04-06 03:00:00",2,"Northwest",NA
"278","2020-04-06 03:00:00",3,"Old Town",2
"279","2020-04-06 03:00:00",5,"Southwest",7
"280","2020-04-06 03:00:00",6,"Downtown",4
"281","2020-04-06 03:00:00",8,"Scenic Vista",NA
"282","2020-04-06 03:00:00",11,"Terrapin",3
"283","2020-04-06 03:00:00",12,"Pepper Mill",NA
"284","2020-04-06 03:00:00",14,"Easton",NA
"285","2020-04-06 03:00:00",15,"Weston",NA
"286","2020-04-06 03:00:00",19,"West Parton",NA
"287","2020-04-06 03:05:00",1,"Palace Hills",8
"288","2020-04-06 03:05:00",2,"Northwest",NA
"289","2020-04-06 03:05:00",3,"Old Town",10
"290","2020-04-06 03:05:00",3,"Old Town",8
"291","2020-04-06 03:05:00",6,"Downtown",4
"292","2020-04-06 03:05:00",6,"Downtown",10
"293","2020-04-06 03:05:00",8,"Scenic Vista",NA
"294","2020-04-06 03:05:00",9,"Broadview",6
"295","2020-04-06 03:10:00",2,"Northwest",NA
"296","2020-04-06 03:10:00",6,"Downtown",7
"297","2020-04-06 03:10:00",6,"Downtown",8
"298","2020-04-06 03:10:00",14,"Easton",NA
"299","2020-04-06 03:10:00",15,"Weston",NA
"300","2020-04-06 03:10:00",18,"East Parton",NA
"301","2020-04-06 03:15:00",2,"Northwest",NA
"302","2020-04-06 03:15:00",6,"Downtown",2
"303","2020-04-06 03:15:00",8,"Scenic Vista",NA
"304","2020-04-06 03:15:00",8,"Scenic Vista",NA
"305","2020-04-06 03:15:00",9,"Broadview",2
"306","2020-04-06 03:15:00",15,"Weston",NA
"307","2020-04-06 03:15:00",18,"East Parton",NA
"308","2020-04-06 03:20:00",2,"Northwest",NA
"309","2020-04-06 03:20:00",6,"Downtown",10
"310","2020-04-06 03:20:00",8,"Scenic Vista",NA
"311","2020-04-06 03:20:00",10,"Chapparal",NA
"312","2020-04-06 03:20:00",15,"Weston",NA
"313","2020-04-06 03:25:00",2,"Northwest",NA
"314","2020-04-06 03:25:00",5,"Southwest",10
"315","2020-04-06 03:25:00",6,"Downtown",8
"316","2020-04-06 03:25:00",6,"Downtown",2
"317","2020-04-06 03:30:00",2,"Northwest",NA
"318","2020-04-06 03:30:00",6,"Downtown",2
"319","2020-04-06 03:35:00",2,"Northwest",NA
"320","2020-04-06 03:35:00",3,"Old Town",0
"321","2020-04-06 03:35:00",3,"Old Town",10
"322","2020-04-06 03:35:00",9,"Broadview",10
"323","2020-04-06 03:35:00",9,"Broadview",8
"324","2020-04-06 03:35:00",12,"Pepper Mill",NA
"325","2020-04-06 03:35:00",15,"Weston",NA
"326","2020-04-06 03:35:00",16,"Southton",10
"327","2020-04-06 03:40:00",2,"Northwest",NA
"328","2020-04-06 03:40:00",5,"Southwest",8
"329","2020-04-06 03:40:00",6,"Downtown",5
"330","2020-04-06 03:40:00",8,"Scenic Vista",NA
"331","2020-04-06 03:40:00",8,"Scenic Vista",NA
"332","2020-04-06 03:40:00",9,"Broadview",9
"333","2020-04-06 03:40:00",16,"Southton",3
"334","2020-04-06 03:40:00",19,"West Parton",NA
"335","2020-04-06 03:45:00",3,"Old Town",2
"336","2020-04-06 03:45:00",4,"Safe Town",NA
"337","2020-04-06 03:45:00",5,"Southwest",2
"338","2020-04-06 03:45:00",5,"Southwest",1
"339","2020-04-06 03:45:00",8,"Scenic Vista",NA
"340","2020-04-06 03:45:00",9,"Broadview",4
"341","2020-04-06 03:45:00",15,"Weston",NA
"342","2020-04-06 03:45:00",15,"Weston",NA
"343","2020-04-06 03:50:00",1,"Palace Hills",3
"344","2020-04-06 03:50:00",2,"Northwest",NA
"345","2020-04-06 03:50:00",6,"Downtown",5
"346","2020-04-06 03:50:00",6,"Downtown",5
"347","2020-04-06 03:50:00",8,"Scenic Vista",NA
"348","2020-04-06 03:50:00",14,"Easton",NA
"349","2020-04-06 03:50:00",18,"East Parton",NA
"350","2020-04-06 03:55:00",6,"Downtown",3
"351","2020-04-06 03:55:00",8,"Scenic Vista",NA
"352","2020-04-06 03:55:00",8,"Scenic Vista",NA
"353","2020-04-06 03:55:00",15,"Weston",NA
"354","2020-04-06 04:00:00",2,"Northwest",NA
"355","2020-04-06 04:00:00",6,"Downtown",4
"356","2020-04-06 04:00:00",6,"Downtown",7
"357","2020-04-06 04:00:00",6,"Downtown",6
"358","2020-04-06 04:00:00",6,"Downtown",10
"359","2020-04-06 04:00:00",8,"Scenic Vista",NA
"360","2020-04-06 04:00:00",8,"Scenic Vista",NA
"361","2020-04-06 04:00:00",11,"Terrapin",5
"362","2020-04-06 04:00:00",19,"West Parton",NA
"363","2020-04-06 04:05:00",2,"Northwest",NA
"364","2020-04-06 04:05:00",3,"Old Town",6
"365","2020-04-06 04:05:00",6,"Downtown",8
"366","2020-04-06 04:05:00",8,"Scenic Vista",NA
"367","2020-04-06 04:05:00",8,"Scenic Vista",NA
"368","2020-04-06 04:05:00",9,"Broadview",6
"369","2020-04-06 04:05:00",14,"Easton",NA
"370","2020-04-06 04:05:00",15,"Weston",NA
"371","2020-04-06 04:05:00",18,"East Parton",NA
"372","2020-04-06 04:10:00",8,"Scenic Vista",NA
"373","2020-04-06 04:10:00",8,"Scenic Vista",NA
"374","2020-04-06 04:10:00",8,"Scenic Vista",NA
"375","2020-04-06 04:10:00",8,"Scenic Vista",NA
"376","2020-04-06 04:10:00",9,"Broadview",0
"377","2020-04-06 04:10:00",15,"Weston",NA
"378","2020-04-06 04:10:00",16,"Southton",3
"379","2020-04-06 04:10:00",17,"Oak Willow",NA
"380","2020-04-06 04:15:00",1,"Palace Hills",3
"381","2020-04-06 04:15:00",2,"Northwest",NA
"382","2020-04-06 04:15:00",2,"Northwest",NA
"383","2020-04-06 04:15:00",4,"Safe Town",NA
"384","2020-04-06 04:15:00",5,"Southwest",1
"385","2020-04-06 04:15:00",5,"Southwest",3
"386","2020-04-06 04:15:00",5,"Southwest",9
"387","2020-04-06 04:15:00",6,"Downtown",8
"388","2020-04-06 04:15:00",8,"Scenic Vista",NA
"389","2020-04-06 04:15:00",8,"Scenic Vista",NA
"390","2020-04-06 04:15:00",9,"Broadview",10
"391","2020-04-06 04:15:00",14,"Easton",NA
"392","2020-04-06 04:20:00",6,"Downtown",8
"393","2020-04-06 04:20:00",6,"Downtown",6
"394","2020-04-06 04:20:00",9,"Broadview",10
"395","2020-04-06 04:20:00",15,"Weston",NA
"396","2020-04-06 04:20:00",19,"West Parton",NA
"397","2020-04-06 04:25:00",2,"Northwest",NA
"398","2020-04-06 04:25:00",4,"Safe Town",NA
"399","2020-04-06 04:25:00",6,"Downtown",10
"400","2020-04-06 04:25:00",6,"Downtown",3
"401","2020-04-06 04:25:00",8,"Scenic Vista",NA
"402","2020-04-06 04:25:00",14,"Easton",NA
"403","2020-04-06 04:25:00",15,"Weston",NA
"404","2020-04-06 04:30:00",6,"Downtown",5
"405","2020-04-06 04:30:00",8,"Scenic Vista",NA
"406","2020-04-06 04:30:00",8,"Scenic Vista",NA
"407","2020-04-06 04:30:00",9,"Broadview",2
"408","2020-04-06 04:30:00",9,"Broadview",3
"409","2020-04-06 04:30:00",10,"Chapparal",NA
"410","2020-04-06 04:30:00",14,"Easton",NA
"411","2020-04-06 04:30:00",15,"Weston",NA
"412","2020-04-06 04:35:00",2,"Northwest",NA
"413","2020-04-06 04:35:00",8,"Scenic Vista",NA
"414","2020-04-06 04:35:00",14,"Easton",NA
"415","2020-04-06 04:35:00",15,"Weston",NA
"416","2020-04-06 04:35:00",15,"Weston",NA
"417","2020-04-06 04:40:00",1,"Palace Hills",8
"418","2020-04-06 04:40:00",2,"Northwest",NA
"419","2020-04-06 04:40:00",15,"Weston",NA
"420","2020-04-06 04:40:00",19,"West Parton",NA
"421","2020-04-06 04:45:00",5,"Southwest",3
"422","2020-04-06 04:45:00",6,"Downtown",10
"423","2020-04-06 04:45:00",8,"Scenic Vista",NA
"424","2020-04-06 04:45:00",15,"Weston",NA
"425","2020-04-06 04:50:00",5,"Southwest",4
"426","2020-04-06 04:50:00",14,"Easton",NA
"427","2020-04-06 04:50:00",15,"Weston",NA
"428","2020-04-06 04:50:00",18,"East Parton",NA
"429","2020-04-06 04:55:00",8,"Scenic Vista",NA
"430","2020-04-06 04:55:00",9,"Broadview",10
"431","2020-04-06 04:55:00",9,"Broadview",7
"432","2020-04-06 04:55:00",14,"Easton",NA
"433","2020-04-06 05:00:00",2,"Northwest",NA
"434","2020-04-06 05:00:00",2,"Northwest",NA
"435","2020-04-06 05:00:00",15,"Weston",NA
"436","2020-04-06 05:00:00",19,"West Parton",NA
"437","2020-04-06 05:05:00",2,"Northwest",NA
"438","2020-04-06 05:05:00",2,"Northwest",NA
"439","2020-04-06 05:05:00",5,"Southwest",7
"440","2020-04-06 05:05:00",6,"Downtown",6
"441","2020-04-06 05:05:00",15,"Weston",NA
"442","2020-04-06 05:10:00",2,"Northwest",NA
"443","2020-04-06 05:10:00",6,"Downtown",1
"444","2020-04-06 05:10:00",6,"Downtown",5
"445","2020-04-06 05:10:00",6,"Downtown",3
"446","2020-04-06 05:10:00",6,"Downtown",3
"447","2020-04-06 05:10:00",12,"Pepper Mill",NA
"448","2020-04-06 05:10:00",15,"Weston",NA
"449","2020-04-06 05:10:00",16,"Southton",4
"450","2020-04-06 05:15:00",2,"Northwest",NA
"451","2020-04-06 05:15:00",4,"Safe Town",NA
"452","2020-04-06 05:15:00",5,"Southwest",10
"453","2020-04-06 05:15:00",8,"Scenic Vista",NA
"454","2020-04-06 05:15:00",10,"Chapparal",NA
"455","2020-04-06 05:15:00",15,"Weston",NA
"456","2020-04-06 05:15:00",16,"Southton",4
"457","2020-04-06 05:15:00",18,"East Parton",NA
"458","2020-04-06 05:20:00",1,"Palace Hills",7
"459","2020-04-06 05:20:00",2,"Northwest",NA
"460","2020-04-06 05:20:00",3,"Old Town",4
"461","2020-04-06 05:20:00",3,"Old Town",4
"462","2020-04-06 05:20:00",6,"Downtown",4
"463","2020-04-06 05:20:00",6,"Downtown",1
"464","2020-04-06 05:20:00",8,"Scenic Vista",NA
"465","2020-04-06 05:20:00",8,"Scenic Vista",NA
"466","2020-04-06 05:20:00",8,"Scenic Vista",NA
"467","2020-04-06 05:20:00",12,"Pepper Mill",NA
"468","2020-04-06 05:20:00",14,"Easton",NA
"469","2020-04-06 05:20:00",15,"Weston",NA
"470","2020-04-06 05:20:00",18,"East Parton",NA
"471","2020-04-06 05:25:00",4,"Safe Town",NA
"472","2020-04-06 05:25:00",9,"Broadview",1
"473","2020-04-06 05:25:00",9,"Broadview",5
"474","2020-04-06 05:25:00",11,"Terrapin",2
"475","2020-04-06 05:25:00",15,"Weston",NA
"476","2020-04-06 05:25:00",18,"East Parton",NA
"477","2020-04-06 05:30:00",2,"Northwest",NA
"478","2020-04-06 05:30:00",3,"Old Town",9
"479","2020-04-06 05:30:00",5,"Southwest",5
"480","2020-04-06 05:30:00",6,"Downtown",8
"481","2020-04-06 05:30:00",15,"Weston",NA
"482","2020-04-06 05:30:00",18,"East Parton",NA
"483","2020-04-06 05:35:00",3,"Old Town",4
"484","2020-04-06 05:35:00",6,"Downtown",4
"485","2020-04-06 05:35:00",6,"Downtown",6
"486","2020-04-06 05:35:00",8,"Scenic Vista",NA
"487","2020-04-06 05:35:00",9,"Broadview",0
"488","2020-04-06 05:35:00",15,"Weston",NA
"489","2020-04-06 05:35:00",19,"West Parton",NA
"490","2020-04-06 05:40:00",3,"Old Town",2
"491","2020-04-06 05:40:00",3,"Old Town",6
"492","2020-04-06 05:40:00",3,"Old Town",9
"493","2020-04-06 05:40:00",5,"Southwest",8
"494","2020-04-06 05:40:00",6,"Downtown",7
"495","2020-04-06 05:40:00",9,"Broadview",10
"496","2020-04-06 05:40:00",15,"Weston",NA
"497","2020-04-06 05:40:00",16,"Southton",6
"498","2020-04-06 05:40:00",16,"Southton",8
"499","2020-04-06 05:40:00",17,"Oak Willow",NA
"500","2020-04-06 05:45:00",3,"Old Town",10
"501","2020-04-06 05:45:00",3,"Old Town",6
"502","2020-04-06 05:45:00",5,"Southwest",1
"503","2020-04-06 05:45:00",6,"Downtown",10
"504","2020-04-06 05:45:00",7,"Wilson Forest",NA
"505","2020-04-06 05:45:00",8,"Scenic Vista",NA
"506","2020-04-06 05:45:00",9,"Broadview",9
"507","2020-04-06 05:45:00",9,"Broadview",1
"508","2020-04-06 05:45:00",9,"Broadview",2
"509","2020-04-06 05:45:00",14,"Easton",NA
"510","2020-04-06 05:45:00",15,"Weston",NA
"511","2020-04-06 05:50:00",8,"Scenic Vista",NA
"512","2020-04-06 05:50:00",15,"Weston",NA
"513","2020-04-06 05:50:00",15,"Weston",NA
"514","2020-04-06 05:50:00",18,"East Parton",NA
"515","2020-04-06 05:55:00",2,"Northwest",NA
"516","2020-04-06 05:55:00",4,"Safe Town",NA
