"","time","location","Location_name","power"
"96","2020-04-06 01:00:00",9,"Broadview",4
"97","2020-04-06 01:00:00",12,"Pepper Mill",10
"98","2020-04-06 01:00:00",14,"Easton",7
"99","2020-04-06 01:00:00",14,"Easton",5
"100","2020-04-06 01:00:00",15,"Weston",3
"101","2020-04-06 01:05:00",2,"Northwest",9
"102","2020-04-06 01:05:00",2,"Northwest",0
"103","2020-04-06 01:05:00",6,"Downtown",2
"104","2020-04-06 01:05:00",9,"Broadview",9
"105","2020-04-06 01:05:00",11,"Terrapin",10
"106","2020-04-06 01:05:00",12,"Pepper Mill",10
"107","2020-04-06 01:05:00",15,"Weston",5
"108","2020-04-06 01:10:00",3,"Old Town",8
"109","2020-04-06 01:10:00",3,"Old Town",3
"110","2020-04-06 01:10:00",6,"Downtown",1
"111","2020-04-06 01:10:00",6,"Downtown",9
"112","2020-04-06 01:10:00",8,"Scenic Vista",6
"113","2020-04-06 01:10:00",9,"Broadview",6
"114","2020-04-06 01:10:00",13,"Cheddarford",3
"115","2020-04-06 01:10:00",16,"Southton",2
"116","2020-04-06 01:10:00",16,"Southton",6
"117","2020-04-06 01:15:00",2,"Northwest",2
"118","2020-04-06 01:15:00",3,"Old Town",10
"119","2020-04-06 01:15:00",6,"Downtown",6
"120","2020-04-06 01:15:00",6,"Downtown",0
"121","2020-04-06 01:15:00",6,"Downtown",8
"122","2020-04-06 01:15:00",8,"Scenic Vista",5
"123","2020-04-06 01:15:00",8,"Scenic Vista",2
"124","2020-04-06 01:15:00",8,"Scenic Vista",1
"125","2020-04-06 01:15:00",8,"Scenic Vista",3
"126","2020-04-06 01:15:00",9,"Broadview",9
"127","2020-04-06 01:15:00",13,"Cheddarford",8
"128","2020-04-06 01:15:00",13,"Cheddarford",9
"129","2020-04-06 01:15:00",14,"Easton",10
"130","2020-04-06 01:15:00",18,"East Parton",5
"131","2020-04-06 01:20:00",1,"Palace Hills",7
"132","2020-04-06 01:20:00",2,"Northwest",3
"133","2020-04-06 01:20:00",3,"Old Town",4
"134","2020-04-06 01:20:00",9,"Broadview",7
"135","2020-04-06 01:20:00",11,"Terrapin",0
"136","2020-04-06 01:20:00",15,"Weston",9
"137","2020-04-06 01:25:00",1,"Palace Hills",0
"138","2020-04-06 01:25:00",9,"Broadview",2
"139","2020-04-06 01:25:00",12,"Pepper Mill",5
"140","2020-04-06 01:25:00",14,"Easton",10
"141","2020-04-06 01:25:00",14,"Easton",5
"142","2020-04-06 01:25:00",18,"East Parton",10
"143","2020-04-06 01:30:00",3,"Old Town",10
"144","2020-04-06 01:30:00",6,"Downtown",1
"145","2020-04-06 01:30:00",11,"Terrapin",4
"146","2020-04-06 01:30:00",19,"West Parton",7
"147","2020-04-06 01:35:00",1,"Palace Hills",10
"148","2020-04-06 01:35:00",5,"Southwest",3
"149","2020-04-06 01:35:00",6,"Downtown",3
"150","2020-04-06 01:35:00",11,"Terrapin",9
"151","2020-04-06 01:35:00",12,"Pepper Mill",10
"152","2020-04-06 01:35:00",18,"East Parton",10
"153","2020-04-06 01:40:00",2,"Northwest",3
"154","2020-04-06 01:40:00",3,"Old Town",3
"155","2020-04-06 01:40:00",3,"Old Town",6
"156","2020-04-06 01:40:00",10,"Chapparal",7
"157","2020-04-06 01:40:00",15,"Weston",9
"158","2020-04-06 01:40:00",15,"Weston",9
"159","2020-04-06 01:45:00",2,"Northwest",3
"160","2020-04-06 01:45:00",2,"Northwest",1
"161","2020-04-06 01:45:00",3,"Old Town",0
"162","2020-04-06 01:45:00",3,"Old Town",0
"163","2020-04-06 01:45:00",8,"Scenic Vista",8
"164","2020-04-06 01:50:00",2,"Northwest",3
"165","2020-04-06 01:50:00",3,"Old Town",0
"166","2020-04-06 01:50:00",3,"Old Town",5
"167","2020-04-06 01:50:00",5,"Southwest",7
"168","2020-04-06 01:50:00",8,"Scenic Vista",5
"169","2020-04-06 01:50:00",8,"Scenic Vista",7
"170","2020-04-06 01:50:00",8,"Scenic Vista",0
"171","2020-04-06 01:50:00",9,"Broadview",1
"172","2020-04-06 01:50:00",19,"West Parton",7
"173","2020-04-06 01:55:00",2,"Northwest",1
"174","2020-04-06 01:55:00",8,"Scenic Vista",3
"175","2020-04-06 01:55:00",8,"Scenic Vista",6
"176","2020-04-06 01:55:00",9,"Broadview",2
"177","2020-04-06 01:55:00",9,"Broadview",7
"178","2020-04-06 01:55:00",9,"Broadview",0
"179","2020-04-06 01:55:00",9,"Broadview",9
"180","2020-04-06 01:55:00",15,"Weston",5
"181","2020-04-06 01:55:00",15,"Weston",6
"182","2020-04-06 01:55:00",18,"East Parton",1
"183","2020-04-06 02:00:00",1,"Palace Hills",1
"184","2020-04-06 02:00:00",19,"West Parton",2
"185","2020-04-06 02:05:00",2,"Northwest",9
"186","2020-04-06 02:05:00",2,"Northwest",8
"187","2020-04-06 02:05:00",4,"Safe Town",8
"188","2020-04-06 02:05:00",9,"Broadview",10
"189","2020-04-06 02:05:00",11,"Terrapin",2
"190","2020-04-06 02:05:00",11,"Terrapin",8
"191","2020-04-06 02:05:00",14,"Easton",5
"192","2020-04-06 02:05:00",15,"Weston",4
"193","2020-04-06 02:05:00",15,"Weston",9
"194","2020-04-06 02:10:00",2,"Northwest",9
"195","2020-04-06 02:10:00",3,"Old Town",0
"196","2020-04-06 02:10:00",6,"Downtown",4
"197","2020-04-06 02:10:00",8,"Scenic Vista",1
"198","2020-04-06 02:10:00",8,"Scenic Vista",4
"199","2020-04-06 02:10:00",15,"Weston",3
"200","2020-04-06 02:15:00",1,"Palace Hills",9
"201","2020-04-06 02:15:00",1,"Palace Hills",9
"202","2020-04-06 02:15:00",6,"Downtown",5
"203","2020-04-06 02:15:00",6,"Downtown",9
"204","2020-04-06 02:15:00",8,"Scenic Vista",8
"205","2020-04-06 02:15:00",10,"Chapparal",10
"206","2020-04-06 02:15:00",13,"Cheddarford",7
"207","2020-04-06 02:15:00",15,"Weston",0
"208","2020-04-06 02:15:00",18,"East Parton",10
"209","2020-04-06 02:20:00",1,"Palace Hills",0
"210","2020-04-06 02:20:00",2,"Northwest",4
"211","2020-04-06 02:20:00",3,"Old Town",1
"212","2020-04-06 02:20:00",3,"Old Town",6
"213","2020-04-06 02:20:00",6,"Downtown",10
"214","2020-04-06 02:20:00",6,"Downtown",5
"215","2020-04-06 02:20:00",9,"Broadview",10
"216","2020-04-06 02:20:00",12,"Pepper Mill",10
"217","2020-04-06 02:25:00",1,"Palace Hills",8
"218","2020-04-06 02:25:00",1,"Palace Hills",10
"219","2020-04-06 02:25:00",3,"Old Town",10
"220","2020-04-06 02:25:00",4,"Safe Town",10
"221","2020-04-06 02:25:00",10,"Chapparal",0
"222","2020-04-06 02:25:00",11,"Terrapin",7
"223","2020-04-06 02:25:00",14,"Easton",10
"224","2020-04-06 02:25:00",19,"West Parton",6
"225","2020-04-06 02:30:00",1,"Palace Hills",0
"226","2020-04-06 02:30:00",3,"Old Town",0
"227","2020-04-06 02:30:00",8,"Scenic Vista",1
"228","2020-04-06 02:30:00",9,"Broadview",1
"229","2020-04-06 02:30:00",12,"Pepper Mill",10
"230","2020-04-06 02:30:00",19,"West Parton",6
"231","2020-04-06 02:35:00",4,"Safe Town",8
"232","2020-04-06 02:35:00",6,"Downtown",7
"233","2020-04-06 02:35:00",6,"Downtown",1
"234","2020-04-06 02:35:00",8,"Scenic Vista",3
"235","2020-04-06 02:35:00",8,"Scenic Vista",10
"236","2020-04-06 02:35:00",8,"Scenic Vista",10
"237","2020-04-06 02:35:00",8,"Scenic Vista",7
"238","2020-04-06 02:35:00",9,"Broadview",8
"239","2020-04-06 02:35:00",9,"Broadview",8
"240","2020-04-06 02:35:00",15,"Weston",1
"241","2020-04-06 02:35:00",19,"West Parton",10
"242","2020-04-06 02:40:00",2,"Northwest",3
"243","2020-04-06 02:40:00",3,"Old Town",3
"244","2020-04-06 02:40:00",6,"Downtown",5
"245","2020-04-06 02:40:00",8,"Scenic Vista",3
"246","2020-04-06 02:40:00",9,"Broadview",10
"247","2020-04-06 02:40:00",14,"Easton",5
"248","2020-04-06 02:40:00",16,"Southton",10
"249","2020-04-06 02:45:00",2,"Northwest",8
"250","2020-04-06 02:45:00",2,"Northwest",2
"251","2020-04-06 02:45:00",6,"Downtown",10
"252","2020-04-06 02:45:00",11,"Terrapin",5
"253","2020-04-06 02:45:00",15,"Weston",0
"254","2020-04-06 02:45:00",19,"West Parton",4
"255","2020-04-06 02:50:00",5,"Southwest",7
"256","2020-04-06 02:50:00",6,"Downtown",9
"257","2020-04-06 02:50:00",6,"Downtown",3
"258","2020-04-06 02:50:00",8,"Scenic Vista",10
"259","2020-04-06 02:50:00",9,"Broadview",8
"260","2020-04-06 02:50:00",9,"Broadview",6
"261","2020-04-06 02:50:00",10,"Chapparal",1
"262","2020-04-06 02:50:00",11,"Terrapin",1
"263","2020-04-06 02:50:00",15,"Weston",4
"264","2020-04-06 02:50:00",15,"Weston",9
"265","2020-04-06 02:50:00",15,"Weston",4
"266","2020-04-06 02:55:00",2,"Northwest",10
"267","2020-04-06 02:55:00",6,"Downtown",3
"268","2020-04-06 02:55:00",9,"Broadview",4
"269","2020-04-06 02:55:00",9,"Broadview",10
"270","2020-04-06 02:55:00",11,"Terrapin",3
"271","2020-04-06 02:55:00",12,"Pepper Mill",8
"272","2020-04-06 02:55:00",15,"Weston",1
"273","2020-04-06 02:55:00",16,"Southton",0
"274","2020-04-06 03:00:00",1,"Palace Hills",2
"275","2020-04-06 03:00:00",2,"Northwest",2
"276","2020-04-06 03:00:00",2,"Northwest",8
"277","2020-04-06 03:00:00",2,"Northwest",0
"278","2020-04-06 03:00:00",3,"Old Town",10
"279","2020-04-06 03:00:00",5,"Southwest",2
"280","2020-04-06 03:00:00",6,"Downtown",3
"281","2020-04-06 03:00:00",8,"Scenic Vista",7
"282","2020-04-06 03:00:00",11,"Terrapin",1
"283","2020-04-06 03:00:00",12,"Pepper Mill",9
"284","2020-04-06 03:00:00",14,"Easton",8
"285","2020-04-06 03:00:00",15,"Weston",6
"286","2020-04-06 03:00:00",19,"West Parton",10
"287","2020-04-06 03:05:00",1,"Palace Hills",9
"288","2020-04-06 03:05:00",2,"Northwest",2
"289","2020-04-06 03:05:00",3,"Old Town",10
"290","2020-04-06 03:05:00",3,"Old Town",6
"291","2020-04-06 03:05:00",6,"Downtown",10
"292","2020-04-06 03:05:00",6,"Downtown",9
"293","2020-04-06 03:05:00",8,"Scenic Vista",9
"294","2020-04-06 03:05:00",9,"Broadview",9
"295","2020-04-06 03:10:00",2,"Northwest",4
"296","2020-04-06 03:10:00",6,"Downtown",2
"297","2020-04-06 03:10:00",6,"Downtown",2
"298","2020-04-06 03:10:00",14,"Easton",3
"299","2020-04-06 03:10:00",15,"Weston",4
"300","2020-04-06 03:10:00",18,"East Parton",6
"301","2020-04-06 03:15:00",2,"Northwest",7
"302","2020-04-06 03:15:00",6,"Downtown",9
"303","2020-04-06 03:15:00",8,"Scenic Vista",5
"304","2020-04-06 03:15:00",8,"Scenic Vista",0
"305","2020-04-06 03:15:00",9,"Broadview",10
"306","2020-04-06 03:15:00",15,"Weston",6
"307","2020-04-06 03:15:00",18,"East Parton",5
"308","2020-04-06 03:20:00",2,"Northwest",9
"309","2020-04-06 03:20:00",6,"Downtown",0
"310","2020-04-06 03:20:00",8,"Scenic Vista",10
"311","2020-04-06 03:20:00",10,"Chapparal",8
"312","2020-04-06 03:20:00",15,"Weston",5
"313","2020-04-06 03:25:00",2,"Northwest",0
"314","2020-04-06 03:25:00",5,"Southwest",1
"315","2020-04-06 03:25:00",6,"Downtown",3
"316","2020-04-06 03:25:00",6,"Downtown",8
"317","2020-04-06 03:30:00",2,"Northwest",1
"318","2020-04-06 03:30:00",6,"Downtown",8
"319","2020-04-06 03:35:00",2,"Northwest",0
"320","2020-04-06 03:35:00",3,"Old Town",0
"321","2020-04-06 03:35:00",3,"Old Town",2
"322","2020-04-06 03:35:00",9,"Broadview",8
"323","2020-04-06 03:35:00",9,"Broadview",1
"324","2020-04-06 03:35:00",12,"Pepper Mill",5
"325","2020-04-06 03:35:00",15,"Weston",6
"326","2020-04-06 03:35:00",16,"Southton",8
"327","2020-04-06 03:40:00",2,"Northwest",3
"328","2020-04-06 03:40:00",5,"Southwest",8
"329","2020-04-06 03:40:00",6,"Downtown",8
"330","2020-04-06 03:40:00",8,"Scenic Vista",0
"331","2020-04-06 03:40:00",8,"Scenic Vista",4
"332","2020-04-06 03:40:00",9,"Broadview",10
"333","2020-04-06 03:40:00",16,"Southton",2
"334","2020-04-06 03:40:00",19,"West Parton",4
"335","2020-04-06 03:45:00",3,"Old Town",7
"336","2020-04-06 03:45:00",4,"Safe Town",1
"337","2020-04-06 03:45:00",5,"Southwest",5
"338","2020-04-06 03:45:00",5,"Southwest",4
"339","2020-04-06 03:45:00",8,"Scenic Vista",3
"340","2020-04-06 03:45:00",9,"Broadview",0
"341","2020-04-06 03:45:00",15,"Weston",0
"342","2020-04-06 03:45:00",15,"Weston",0
"343","2020-04-06 03:50:00",1,"Palace Hills",0
"344","2020-04-06 03:50:00",2,"Northwest",0
"345","2020-04-06 03:50:00",6,"Downtown",6
"346","2020-04-06 03:50:00",6,"Downtown",2
"347","2020-04-06 03:50:00",8,"Scenic Vista",10
"348","2020-04-06 03:50:00",14,"Easton",0
"349","2020-04-06 03:50:00",18,"East Parton",6
"350","2020-04-06 03:55:00",6,"Downtown",0
"351","2020-04-06 03:55:00",8,"Scenic Vista",3
"352","2020-04-06 03:55:00",8,"Scenic Vista",1
"353","2020-04-06 03:55:00",15,"Weston",4
"354","2020-04-06 04:00:00",2,"Northwest",10
"355","2020-04-06 04:00:00",6,"Downtown",7
"356","2020-04-06 04:00:00",6,"Downtown",2
"357","2020-04-06 04:00:00",6,"Downtown",0
"358","2020-04-06 04:00:00",6,"Downtown",8
"359","2020-04-06 04:00:00",8,"Scenic Vista",9
"360","2020-04-06 04:00:00",8,"Scenic Vista",1
"361","2020-04-06 04:00:00",11,"Terrapin",8
"362","2020-04-06 04:00:00",19,"West Parton",10
"363","2020-04-06 04:05:00",2,"Northwest",2
"364","2020-04-06 04:05:00",3,"Old Town",9
"365","2020-04-06 04:05:00",6,"Downtown",5
"366","2020-04-06 04:05:00",8,"Scenic Vista",10
"367","2020-04-06 04:05:00",8,"Scenic Vista",3
"368","2020-04-06 04:05:00",9,"Broadview",5
"369","2020-04-06 04:05:00",14,"Easton",4
"370","2020-04-06 04:05:00",15,"Weston",5
"371","2020-04-06 04:05:00",18,"East Parton",10
"372","2020-04-06 04:10:00",8,"Scenic Vista",10
"373","2020-04-06 04:10:00",8,"Scenic Vista",6
"374","2020-04-06 04:10:00",8,"Scenic Vista",0
"375","2020-04-06 04:10:00",8,"Scenic Vista",8
"376","2020-04-06 04:10:00",9,"Broadview",10
"377","2020-04-06 04:10:00",15,"Weston",6
"378","2020-04-06 04:10:00",16,"Southton",5
"379","2020-04-06 04:10:00",17,"Oak Willow",6
"380","2020-04-06 04:15:00",1,"Palace Hills",8
"381","2020-04-06 04:15:00",2,"Northwest",2
"382","2020-04-06 04:15:00",2,"Northwest",5
"383","2020-04-06 04:15:00",4,"Safe Town",1
"384","2020-04-06 04:15:00",5,"Southwest",10
"385","2020-04-06 04:15:00",5,"Southwest",0
"386","2020-04-06 04:15:00",5,"Southwest",3
"387","2020-04-06 04:15:00",6,"Downtown",9
"388","2020-04-06 04:15:00",8,"Scenic Vista",4
"389","2020-04-06 04:15:00",8,"Scenic Vista",5
"390","2020-04-06 04:15:00",9,"Broadview",7
"391","2020-04-06 04:15:00",14,"Easton",1
"392","2020-04-06 04:20:00",6,"Downtown",4
"393","2020-04-06 04:20:00",6,"Downtown",3
"394","2020-04-06 04:20:00",9,"Broadview",9
"395","2020-04-06 04:20:00",15,"Weston",5
"396","2020-04-06 04:20:00",19,"West Parton",0
"397","2020-04-06 04:25:00",2,"Northwest",5
"398","2020-04-06 04:25:00",4,"Safe Town",4
"399","2020-04-06 04:25:00",6,"Downtown",10
"400","2020-04-06 04:25:00",6,"Downtown",6
"401","2020-04-06 04:25:00",8,"Scenic Vista",10
"402","2020-04-06 04:25:00",14,"Easton",8
"403","2020-04-06 04:25:00",15,"Weston",10
"404","2020-04-06 04:30:00",6,"Downtown",5
"405","2020-04-06 04:30:00",8,"Scenic Vista",1
"406","2020-04-06 04:30:00",8,"Scenic Vista",8
"407","2020-04-06 04:30:00",9,"Broadview",8
"408","2020-04-06 04:30:00",9,"Broadview",4
"409","2020-04-06 04:30:00",10,"Chapparal",4
"410","2020-04-06 04:30:00",14,"Easton",10
"411","2020-04-06 04:30:00",15,"Weston",10
"412","2020-04-06 04:35:00",2,"Northwest",3
"413","2020-04-06 04:35:00",8,"Scenic Vista",0
"414","2020-04-06 04:35:00",14,"Easton",1
"415","2020-04-06 04:35:00",15,"Weston",10
"416","2020-04-06 04:35:00",15,"Weston",6
"417","2020-04-06 04:40:00",1,"Palace Hills",3
"418","2020-04-06 04:40:00",2,"Northwest",7
"419","2020-04-06 04:40:00",15,"Weston",0
"420","2020-04-06 04:40:00",19,"West Parton",4
"421","2020-04-06 04:45:00",5,"Southwest",10
"422","2020-04-06 04:45:00",6,"Downtown",6
"423","2020-04-06 04:45:00",8,"Scenic Vista",9
"424","2020-04-06 04:45:00",15,"Weston",1
"425","2020-04-06 04:50:00",5,"Southwest",10
"426","2020-04-06 04:50:00",14,"Easton",7
"427","2020-04-06 04:50:00",15,"Weston",7
"428","2020-04-06 04:50:00",18,"East Parton",3
"429","2020-04-06 04:55:00",8,"Scenic Vista",8
"430","2020-04-06 04:55:00",9,"Broadview",7
"431","2020-04-06 04:55:00",9,"Broadview",3
"432","2020-04-06 04:55:00",14,"Easton",7
"433","2020-04-06 05:00:00",2,"Northwest",1
"434","2020-04-06 05:00:00",2,"Northwest",10
"435","2020-04-06 05:00:00",15,"Weston",2
"436","2020-04-06 05:00:00",19,"West Parton",4
"437","2020-04-06 05:05:00",2,"Northwest",6
"438","2020-04-06 05:05:00",2,"Northwest",9
"439","2020-04-06 05:05:00",5,"Southwest",8
"440","2020-04-06 05:05:00",6,"Downtown",10
"441","2020-04-06 05:05:00",15,"Weston",5
"442","2020-04-06 05:10:00",2,"Northwest",4
"443","2020-04-06 05:10:00",6,"Downtown",3
"444","2020-04-06 05:10:00",6,"Downtown",3
"445","2020-04-06 05:10:00",6,"Downtown",4
"446","2020-04-06 05:10:00",6,"Downtown",6
"447","2020-04-06 05:10:00",12,"Pepper Mill",9
"448","2020-04-06 05:10:00",15,"Weston",9
"449","2020-04-06 05:10:00",16,"Southton",6
"450","2020-04-06 05:15:00",2,"Northwest",3
"451","2020-04-06 05:15:00",4,"Safe Town",5
"452","2020-04-06 05:15:00",5,"Southwest",10
"453","2020-04-06 05:15:00",8,"Scenic Vista",0
"454","2020-04-06 05:15:00",10,"Chapparal",8
"455","2020-04-06 05:15:00",15,"Weston",5
"456","2020-04-06 05:15:00",16,"Southton",10
"457","2020-04-06 05:15:00",18,"East Parton",8
"458","2020-04-06 05:20:00",1,"Palace Hills",10
"459","2020-04-06 05:20:00",2,"Northwest",3
"460","2020-04-06 05:20:00",3,"Old Town",10
"461","2020-04-06 05:20:00",3,"Old Town",7
"462","2020-04-06 05:20:00",6,"Downtown",3
"463","2020-04-06 05:20:00",6,"Downtown",2
"464","2020-04-06 05:20:00",8,"Scenic Vista",3
"465","2020-04-06 05:20:00",8,"Scenic Vista",8
"466","2020-04-06 05:20:00",8,"Scenic Vista",1
"467","2020-04-06 05:20:00",12,"Pepper Mill",6
"468","2020-04-06 05:20:00",14,"Easton",4
"469","2020-04-06 05:20:00",15,"Weston",8
"470","2020-04-06 05:20:00",18,"East Parton",8
"471","2020-04-06 05:25:00",4,"Safe Town",9
"472","2020-04-06 05:25:00",9,"Broadview",6
"473","2020-04-06 05:25:00",9,"Broadview",10
"474","2020-04-06 05:25:00",11,"Terrapin",0
"475","2020-04-06 05:25:00",15,"Weston",8
"476","2020-04-06 05:25:00",18,"East Parton",6
"477","2020-04-06 05:30:00",2,"Northwest",9
"478","2020-04-06 05:30:00",3,"Old Town",3
"479","2020-04-06 05:30:00",5,"Southwest",10
"480","2020-04-06 05:30:00",6,"Downtown",5
"481","2020-04-06 05:30:00",15,"Weston",4
"482","2020-04-06 05:30:00",18,"East Parton",10
"483","2020-04-06 05:35:00",3,"Old Town",6
"484","2020-04-06 05:35:00",6,"Downtown",1
"485","2020-04-06 05:35:00",6,"Downtown",0
"486","2020-04-06 05:35:00",8,"Scenic Vista",6
"487","2020-04-06 05:35:00",9,"Broadview",3
"488","2020-04-06 05:35:00",15,"Weston",8
"489","2020-04-06 05:35:00",19,"West Parton",4
"490","2020-04-06 05:40:00",3,"Old Town",10
"491","2020-04-06 05:40:00",3,"Old Town",10
"492","2020-04-06 05:40:00",3,"Old Town",5
"493","2020-04-06 05:40:00",5,"Southwest",10
"494","2020-04-06 05:40:00",6,"Downtown",0
"495","2020-04-06 05:40:00",9,"Broadview",7
"496","2020-04-06 05:40:00",15,"Weston",6
"497","2020-04-06 05:40:00",16,"Southton",7
"498","2020-04-06 05:40:00",16,"Southton",4
"499","2020-04-06 05:40:00",17,"Oak Willow",5
"500","2020-04-06 05:45:00",3,"Old Town",10
"501","2020-04-06 05:45:00",3,"Old Town",4
"502","2020-04-06 05:45:00",5,"Southwest",6
"503","2020-04-06 05:45:00",6,"Downtown",5
"504","2020-04-06 05:45:00",7,"Wilson Forest",3
"505","2020-04-06 05:45:00",8,"Scenic Vista",4
"506","2020-04-06 05:45:00",9,"Broadview",8
"507","2020-04-06 05:45:00",9,"Broadview",10
"508","2020-04-06 05:45:00",9,"Broadview",6
"509","2020-04-06 05:45:00",14,"Easton",8
"510","2020-04-06 05:45:00",15,"Weston",0
"511","2020-04-06 05:50:00",8,"Scenic Vista",5
"512","2020-04-06 05:50:00",15,"Weston",2
"513","2020-04-06 05:50:00",15,"Weston",3
"514","2020-04-06 05:50:00",18,"East Parton",9
"515","2020-04-06 05:55:00",2,"Northwest",7
"516","2020-04-06 05:55:00",4,"Safe Town",8
"517","2020-04-06 05:55:00",5,"Southwest",7
"518","2020-04-06 05:55:00",6,"Downtown",6
"519","2020-04-06 05:55:00",6,"Downtown",3
"520","2020-04-06 05:55:00",9,"Broadview",9
"521","2020-04-06 05:55:00",14,"Easton",2
"522","2020-04-06 05:55:00",15,"Weston",3
"523","2020-04-06 05:55:00",16,"Southton",10
"524","2020-04-06 05:55:00",18,"East Parton",8
"525","2020-04-06 06:00:00",2,"Northwest",9
"526","2020-04-06 06:00:00",3,"Old Town",0
"527","2020-04-06 06:00:00",8,"Scenic Vista",9
