"","time","location","Location_name","buildings"
"38","2020-04-06 00:15:00",12,"Pepper Mill",2
"39","2020-04-06 00:20:00",3,"Old Town",1
"40","2020-04-06 00:20:00",6,"Downtown",0
"41","2020-04-06 00:20:00",15,"Weston",8
"42","2020-04-06 00:20:00",16,"Southton",9
"43","2020-04-06 00:25:00",3,"Old Town",4
"44","2020-04-06 00:25:00",3,"Old Town",2
"45","2020-04-06 00:25:00",6,"Downtown",8
"46","2020-04-06 00:25:00",8,"Scenic Vista",3
"47","2020-04-06 00:25:00",8,"Scenic Vista",3
"48","2020-04-06 00:25:00",15,"Weston",3
"49","2020-04-06 00:25:00",15,"Weston",3
"50","2020-04-06 00:25:00",17,"Oak Willow",9
"51","2020-04-06 00:30:00",4,"Safe Town",3
"52","2020-04-06 00:30:00",18,"East Parton",3
"53","2020-04-06 00:30:00",19,"West Parton",0
"54","2020-04-06 00:35:00",1,"Palace Hills",5
"55","2020-04-06 00:35:00",2,"Northwest",10
"56","2020-04-06 00:35:00",2,"Northwest",2
"57","2020-04-06 00:35:00",3,"Old Town",2
"58","2020-04-06 00:35:00",3,"Old Town",3
"59","2020-04-06 00:35:00",9,"Broadview",7
"60","2020-04-06 00:35:00",17,"Oak Willow",4
"61","2020-04-06 00:40:00",2,"Northwest",3
"62","2020-04-06 00:40:00",2,"Northwest",2
"63","2020-04-06 00:40:00",3,"Old Town",1
"64","2020-04-06 00:40:00",3,"Old Town",5
"65","2020-04-06 00:40:00",5,"Southwest",6
"66","2020-04-06 00:40:00",5,"Southwest",8
"67","2020-04-06 00:40:00",6,"Downtown",5
"68","2020-04-06 00:40:00",6,"Downtown",9
"69","2020-04-06 00:40:00",19,"West Parton",3
"70","2020-04-06 00:45:00",2,"Northwest",5
"71","2020-04-06 00:45:00",2,"Northwest",8
"72","2020-04-06 00:45:00",6,"Downtown",0
"73","2020-04-06 00:45:00",8,"Scenic Vista",0
"74","2020-04-06 00:45:00",9,"Broadview",5
"75","2020-04-06 00:50:00",2,"Northwest",0
"76","2020-04-06 00:50:00",3,"Old Town",3
"77","2020-04-06 00:50:00",5,"Southwest",1
"78","2020-04-06 00:50:00",9,"Broadview",9
"79","2020-04-06 00:50:00",14,"Easton",9
"80","2020-04-06 00:50:00",14,"Easton",3
"81","2020-04-06 00:50:00",15,"Weston",9
"82","2020-04-06 00:50:00",19,"West Parton",9
"83","2020-04-06 00:55:00",2,"Northwest",6
"84","2020-04-06 00:55:00",4,"Safe Town",5
"85","2020-04-06 00:55:00",6,"Downtown",3
"86","2020-04-06 00:55:00",14,"Easton",1
"87","2020-04-06 00:55:00",15,"Weston",10
"88","2020-04-06 00:55:00",15,"Weston",3
"89","2020-04-06 00:55:00",15,"Weston",0
"90","2020-04-06 00:55:00",15,"Weston",4
"91","2020-04-06 00:55:00",19,"West Parton",1
"92","2020-04-06 01:00:00",3,"Old Town",7
"93","2020-04-06 01:00:00",6,"Downtown",10
"94","2020-04-06 01:00:00",6,"Downtown",2
"95","2020-04-06 01:00:00",9,"Broadview",7
"96","2020-04-06 01:00:00",9,"Broadview",1
"97","2020-04-06 01:00:00",12,"Pepper Mill",10
"98","2020-04-06 01:00:00",14,"Easton",0
"99","2020-04-06 01:00:00",14,"Easton",7
"100","2020-04-06 01:00:00",15,"Weston",0
"101","2020-04-06 01:05:00",2,"Northwest",9
"102","2020-04-06 01:05:00",2,"Northwest",7
"103","2020-04-06 01:05:00",6,"Downtown",10
"104","2020-04-06 01:05:00",9,"Broadview",1
"105","2020-04-06 01:05:00",11,"Terrapin",5
"106","2020-04-06 01:05:00",12,"Pepper Mill",9
"107","2020-04-06 01:05:00",15,"Weston",2
"108","2020-04-06 01:10:00",3,"Old Town",8
"109","2020-04-06 01:10:00",3,"Old Town",3
"110","2020-04-06 01:10:00",6,"Downtown",7
"111","2020-04-06 01:10:00",6,"Downtown",2
"112","2020-04-06 01:10:00",8,"Scenic Vista",10
"113","2020-04-06 01:10:00",9,"Broadview",6
"114","2020-04-06 01:10:00",13,"Cheddarford",8
"115","2020-04-06 01:10:00",16,"Southton",6
"116","2020-04-06 01:10:00",16,"Southton",8
"117","2020-04-06 01:15:00",2,"Northwest",8
"118","2020-04-06 01:15:00",3,"Old Town",4
"119","2020-04-06 01:15:00",6,"Downtown",7
"120","2020-04-06 01:15:00",6,"Downtown",2
"121","2020-04-06 01:15:00",6,"Downtown",0
"122","2020-04-06 01:15:00",8,"Scenic Vista",10
"123","2020-04-06 01:15:00",8,"Scenic Vista",9
"124","2020-04-06 01:15:00",8,"Scenic Vista",2
"125","2020-04-06 01:15:00",8,"Scenic Vista",2
"126","2020-04-06 01:15:00",9,"Broadview",1
"127","2020-04-06 01:15:00",13,"Cheddarford",1
"128","2020-04-06 01:15:00",13,"Cheddarford",10
"129","2020-04-06 01:15:00",14,"Easton",10
"130","2020-04-06 01:15:00",18,"East Parton",10
"131","2020-04-06 01:20:00",1,"Palace Hills",3
"132","2020-04-06 01:20:00",2,"Northwest",3
"133","2020-04-06 01:20:00",3,"Old Town",10
"134","2020-04-06 01:20:00",9,"Broadview",4
"135","2020-04-06 01:20:00",11,"Terrapin",6
"136","2020-04-06 01:20:00",15,"Weston",6
"137","2020-04-06 01:25:00",1,"Palace Hills",6
"138","2020-04-06 01:25:00",9,"Broadview",8
"139","2020-04-06 01:25:00",12,"Pepper Mill",4
"140","2020-04-06 01:25:00",14,"Easton",1
"141","2020-04-06 01:25:00",14,"Easton",4
"142","2020-04-06 01:25:00",18,"East Parton",10
"143","2020-04-06 01:30:00",3,"Old Town",5
"144","2020-04-06 01:30:00",6,"Downtown",7
"145","2020-04-06 01:30:00",11,"Terrapin",7
"146","2020-04-06 01:30:00",19,"West Parton",2
"147","2020-04-06 01:35:00",1,"Palace Hills",0
"148","2020-04-06 01:35:00",5,"Southwest",10
"149","2020-04-06 01:35:00",6,"Downtown",2
"150","2020-04-06 01:35:00",11,"Terrapin",4
"151","2020-04-06 01:35:00",12,"Pepper Mill",3
"152","2020-04-06 01:35:00",18,"East Parton",8
"153","2020-04-06 01:40:00",2,"Northwest",4
"154","2020-04-06 01:40:00",3,"Old Town",8
"155","2020-04-06 01:40:00",3,"Old Town",3
"156","2020-04-06 01:40:00",10,"Chapparal",7
"157","2020-04-06 01:40:00",15,"Weston",8
"158","2020-04-06 01:40:00",15,"Weston",4
"159","2020-04-06 01:45:00",2,"Northwest",7
"160","2020-04-06 01:45:00",2,"Northwest",4
"161","2020-04-06 01:45:00",3,"Old Town",5
"162","2020-04-06 01:45:00",3,"Old Town",6
"163","2020-04-06 01:45:00",8,"Scenic Vista",10
"164","2020-04-06 01:50:00",2,"Northwest",0
"165","2020-04-06 01:50:00",3,"Old Town",9
"166","2020-04-06 01:50:00",3,"Old Town",9
"167","2020-04-06 01:50:00",5,"Southwest",5
"168","2020-04-06 01:50:00",8,"Scenic Vista",4
"169","2020-04-06 01:50:00",8,"Scenic Vista",9
"170","2020-04-06 01:50:00",8,"Scenic Vista",9
"171","2020-04-06 01:50:00",9,"Broadview",10
"172","2020-04-06 01:50:00",19,"West Parton",8
"173","2020-04-06 01:55:00",2,"Northwest",4
"174","2020-04-06 01:55:00",8,"Scenic Vista",10
"175","2020-04-06 01:55:00",8,"Scenic Vista",10
"176","2020-04-06 01:55:00",9,"Broadview",9
"177","2020-04-06 01:55:00",9,"Broadview",10
"178","2020-04-06 01:55:00",9,"Broadview",1
"179","2020-04-06 01:55:00",9,"Broadview",10
"180","2020-04-06 01:55:00",15,"Weston",6
"181","2020-04-06 01:55:00",15,"Weston",1
"182","2020-04-06 01:55:00",18,"East Parton",0
"183","2020-04-06 02:00:00",1,"Palace Hills",10
"184","2020-04-06 02:00:00",19,"West Parton",1
"185","2020-04-06 02:05:00",2,"Northwest",10
"186","2020-04-06 02:05:00",2,"Northwest",0
"187","2020-04-06 02:05:00",4,"Safe Town",0
"188","2020-04-06 02:05:00",9,"Broadview",1
"189","2020-04-06 02:05:00",11,"Terrapin",3
"190","2020-04-06 02:05:00",11,"Terrapin",8
"191","2020-04-06 02:05:00",14,"Easton",0
"192","2020-04-06 02:05:00",15,"Weston",8
"193","2020-04-06 02:05:00",15,"Weston",10
"194","2020-04-06 02:10:00",2,"Northwest",5
"195","2020-04-06 02:10:00",3,"Old Town",6
"196","2020-04-06 02:10:00",6,"Downtown",10
"197","2020-04-06 02:10:00",8,"Scenic Vista",9
"198","2020-04-06 02:10:00",8,"Scenic Vista",10
"199","2020-04-06 02:10:00",15,"Weston",9
"200","2020-04-06 02:15:00",1,"Palace Hills",9
"201","2020-04-06 02:15:00",1,"Palace Hills",2
"202","2020-04-06 02:15:00",6,"Downtown",4
"203","2020-04-06 02:15:00",6,"Downtown",3
"204","2020-04-06 02:15:00",8,"Scenic Vista",6
"205","2020-04-06 02:15:00",10,"Chapparal",6
"206","2020-04-06 02:15:00",13,"Cheddarford",0
"207","2020-04-06 02:15:00",15,"Weston",10
"208","2020-04-06 02:15:00",18,"East Parton",0
"209","2020-04-06 02:20:00",1,"Palace Hills",6
"210","2020-04-06 02:20:00",2,"Northwest",2
"211","2020-04-06 02:20:00",3,"Old Town",2
"212","2020-04-06 02:20:00",3,"Old Town",1
"213","2020-04-06 02:20:00",6,"Downtown",10
"214","2020-04-06 02:20:00",6,"Downtown",10
"215","2020-04-06 02:20:00",9,"Broadview",10
"216","2020-04-06 02:20:00",12,"Pepper Mill",1
"217","2020-04-06 02:25:00",1,"Palace Hills",10
"218","2020-04-06 02:25:00",1,"Palace Hills",4
"219","2020-04-06 02:25:00",3,"Old Town",3
"220","2020-04-06 02:25:00",4,"Safe Town",10
"221","2020-04-06 02:25:00",10,"Chapparal",7
"222","2020-04-06 02:25:00",11,"Terrapin",9
"223","2020-04-06 02:25:00",14,"Easton",2
"224","2020-04-06 02:25:00",19,"West Parton",0
"225","2020-04-06 02:30:00",1,"Palace Hills",10
"226","2020-04-06 02:30:00",3,"Old Town",3
"227","2020-04-06 02:30:00",8,"Scenic Vista",8
"228","2020-04-06 02:30:00",9,"Broadview",8
"229","2020-04-06 02:30:00",12,"Pepper Mill",10
"230","2020-04-06 02:30:00",19,"West Parton",10
"231","2020-04-06 02:35:00",4,"Safe Town",10
"232","2020-04-06 02:35:00",6,"Downtown",9
"233","2020-04-06 02:35:00",6,"Downtown",8
"234","2020-04-06 02:35:00",8,"Scenic Vista",5
"235","2020-04-06 02:35:00",8,"Scenic Vista",1
"236","2020-04-06 02:35:00",8,"Scenic Vista",6
"237","2020-04-06 02:35:00",8,"Scenic Vista",3
"238","2020-04-06 02:35:00",9,"Broadview",9
"239","2020-04-06 02:35:00",9,"Broadview",0
"240","2020-04-06 02:35:00",15,"Weston",3
"241","2020-04-06 02:35:00",19,"West Parton",1
"242","2020-04-06 02:40:00",2,"Northwest",1
"243","2020-04-06 02:40:00",3,"Old Town",8
"244","2020-04-06 02:40:00",6,"Downtown",7
"245","2020-04-06 02:40:00",8,"Scenic Vista",10
"246","2020-04-06 02:40:00",9,"Broadview",8
"247","2020-04-06 02:40:00",14,"Easton",4
"248","2020-04-06 02:40:00",16,"Southton",9
"249","2020-04-06 02:45:00",2,"Northwest",4
"250","2020-04-06 02:45:00",2,"Northwest",7
"251","2020-04-06 02:45:00",6,"Downtown",10
"252","2020-04-06 02:45:00",11,"Terrapin",10
"253","2020-04-06 02:45:00",15,"Weston",7
"254","2020-04-06 02:45:00",19,"West Parton",8
"255","2020-04-06 02:50:00",5,"Southwest",8
"256","2020-04-06 02:50:00",6,"Downtown",4
"257","2020-04-06 02:50:00",6,"Downtown",10
"258","2020-04-06 02:50:00",8,"Scenic Vista",5
"259","2020-04-06 02:50:00",9,"Broadview",10
"260","2020-04-06 02:50:00",9,"Broadview",4
"261","2020-04-06 02:50:00",10,"Chapparal",7
"262","2020-04-06 02:50:00",11,"Terrapin",3
"263","2020-04-06 02:50:00",15,"Weston",10
"264","2020-04-06 02:50:00",15,"Weston",7
"265","2020-04-06 02:50:00",15,"Weston",8
"266","2020-04-06 02:55:00",2,"Northwest",5
"267","2020-04-06 02:55:00",6,"Downtown",10
"268","2020-04-06 02:55:00",9,"Broadview",3
"269","2020-04-06 02:55:00",9,"Broadview",9
"270","2020-04-06 02:55:00",11,"Terrapin",4
"271","2020-04-06 02:55:00",12,"Pepper Mill",0
"272","2020-04-06 02:55:00",15,"Weston",4
"273","2020-04-06 02:55:00",16,"Southton",10
"274","2020-04-06 03:00:00",1,"Palace Hills",10
"275","2020-04-06 03:00:00",2,"Northwest",2
"276","2020-04-06 03:00:00",2,"Northwest",4
"277","2020-04-06 03:00:00",2,"Northwest",5
"278","2020-04-06 03:00:00",3,"Old Town",2
"279","2020-04-06 03:00:00",5,"Southwest",1
"280","2020-04-06 03:00:00",6,"Downtown",2
"281","2020-04-06 03:00:00",8,"Scenic Vista",0
"282","2020-04-06 03:00:00",11,"Terrapin",3
"283","2020-04-06 03:00:00",12,"Pepper Mill",1
"284","2020-04-06 03:00:00",14,"Easton",5
"285","2020-04-06 03:00:00",15,"Weston",4
"286","2020-04-06 03:00:00",19,"West Parton",7
"287","2020-04-06 03:05:00",1,"Palace Hills",7
"288","2020-04-06 03:05:00",2,"Northwest",4
"289","2020-04-06 03:05:00",3,"Old Town",2
"290","2020-04-06 03:05:00",3,"Old Town",6
"291","2020-04-06 03:05:00",6,"Downtown",10
"292","2020-04-06 03:05:00",6,"Downtown",9
"293","2020-04-06 03:05:00",8,"Scenic Vista",3
"294","2020-04-06 03:05:00",9,"Broadview",10
"295","2020-04-06 03:10:00",2,"Northwest",10
"296","2020-04-06 03:10:00",6,"Downtown",4
"297","2020-04-06 03:10:00",6,"Downtown",3
"298","2020-04-06 03:10:00",14,"Easton",2
"299","2020-04-06 03:10:00",15,"Weston",6
"300","2020-04-06 03:10:00",18,"East Parton",1
"301","2020-04-06 03:15:00",2,"Northwest",9
"302","2020-04-06 03:15:00",6,"Downtown",10
"303","2020-04-06 03:15:00",8,"Scenic Vista",9
"304","2020-04-06 03:15:00",8,"Scenic Vista",3
"305","2020-04-06 03:15:00",9,"Broadview",6
"306","2020-04-06 03:15:00",15,"Weston",7
"307","2020-04-06 03:15:00",18,"East Parton",10
"308","2020-04-06 03:20:00",2,"Northwest",7
"309","2020-04-06 03:20:00",6,"Downtown",9
"310","2020-04-06 03:20:00",8,"Scenic Vista",5
"311","2020-04-06 03:20:00",10,"Chapparal",10
"312","2020-04-06 03:20:00",15,"Weston",4
"313","2020-04-06 03:25:00",2,"Northwest",3
"314","2020-04-06 03:25:00",5,"Southwest",4
"315","2020-04-06 03:25:00",6,"Downtown",9
"316","2020-04-06 03:25:00",6,"Downtown",2
"317","2020-04-06 03:30:00",2,"Northwest",9
"318","2020-04-06 03:30:00",6,"Downtown",2
"319","2020-04-06 03:35:00",2,"Northwest",9
"320","2020-04-06 03:35:00",3,"Old Town",10
"321","2020-04-06 03:35:00",3,"Old Town",10
"322","2020-04-06 03:35:00",9,"Broadview",9
"323","2020-04-06 03:35:00",9,"Broadview",9
"324","2020-04-06 03:35:00",12,"Pepper Mill",7
"325","2020-04-06 03:35:00",15,"Weston",8
"326","2020-04-06 03:35:00",16,"Southton",9
"327","2020-04-06 03:40:00",2,"Northwest",8
"328","2020-04-06 03:40:00",5,"Southwest",10
"329","2020-04-06 03:40:00",6,"Downtown",10
"330","2020-04-06 03:40:00",8,"Scenic Vista",5
"331","2020-04-06 03:40:00",8,"Scenic Vista",4
"332","2020-04-06 03:40:00",9,"Broadview",7
"333","2020-04-06 03:40:00",16,"Southton",2
"334","2020-04-06 03:40:00",19,"West Parton",1
"335","2020-04-06 03:45:00",3,"Old Town",1
"336","2020-04-06 03:45:00",4,"Safe Town",2
"337","2020-04-06 03:45:00",5,"Southwest",10
"338","2020-04-06 03:45:00",5,"Southwest",0
"339","2020-04-06 03:45:00",8,"Scenic Vista",2
"340","2020-04-06 03:45:00",9,"Broadview",7
"341","2020-04-06 03:45:00",15,"Weston",6
"342","2020-04-06 03:45:00",15,"Weston",8
"343","2020-04-06 03:50:00",1,"Palace Hills",4
"344","2020-04-06 03:50:00",2,"Northwest",9
"345","2020-04-06 03:50:00",6,"Downtown",6
"346","2020-04-06 03:50:00",6,"Downtown",10
"347","2020-04-06 03:50:00",8,"Scenic Vista",5
"348","2020-04-06 03:50:00",14,"Easton",1
"349","2020-04-06 03:50:00",18,"East Parton",8
"350","2020-04-06 03:55:00",6,"Downtown",0
"351","2020-04-06 03:55:00",8,"Scenic Vista",8
"352","2020-04-06 03:55:00",8,"Scenic Vista",9
"353","2020-04-06 03:55:00",15,"Weston",1
"354","2020-04-06 04:00:00",2,"Northwest",10
"355","2020-04-06 04:00:00",6,"Downtown",10
"356","2020-04-06 04:00:00",6,"Downtown",7
"357","2020-04-06 04:00:00",6,"Downtown",9
"358","2020-04-06 04:00:00",6,"Downtown",3
"359","2020-04-06 04:00:00",8,"Scenic Vista",1
"360","2020-04-06 04:00:00",8,"Scenic Vista",8
"361","2020-04-06 04:00:00",11,"Terrapin",7
"362","2020-04-06 04:00:00",19,"West Parton",6
"363","2020-04-06 04:05:00",2,"Northwest",8
"364","2020-04-06 04:05:00",3,"Old Town",10
"365","2020-04-06 04:05:00",6,"Downtown",9
"366","2020-04-06 04:05:00",8,"Scenic Vista",7
"367","2020-04-06 04:05:00",8,"Scenic Vista",2
"368","2020-04-06 04:05:00",9,"Broadview",3
"369","2020-04-06 04:05:00",14,"Easton",10
"370","2020-04-06 04:05:00",15,"Weston",2
"371","2020-04-06 04:05:00",18,"East Parton",9
"372","2020-04-06 04:10:00",8,"Scenic Vista",4
"373","2020-04-06 04:10:00",8,"Scenic Vista",2
"374","2020-04-06 04:10:00",8,"Scenic Vista",5
"375","2020-04-06 04:10:00",8,"Scenic Vista",0
"376","2020-04-06 04:10:00",9,"Broadview",8
"377","2020-04-06 04:10:00",15,"Weston",2
"378","2020-04-06 04:10:00",16,"Southton",8
"379","2020-04-06 04:10:00",17,"Oak Willow",3
"380","2020-04-06 04:15:00",1,"Palace Hills",6
"381","2020-04-06 04:15:00",2,"Northwest",10
"382","2020-04-06 04:15:00",2,"Northwest",8
"383","2020-04-06 04:15:00",4,"Safe Town",9
"384","2020-04-06 04:15:00",5,"Southwest",7
"385","2020-04-06 04:15:00",5,"Southwest",1
"386","2020-04-06 04:15:00",5,"Southwest",10
"387","2020-04-06 04:15:00",6,"Downtown",6
"388","2020-04-06 04:15:00",8,"Scenic Vista",1
"389","2020-04-06 04:15:00",8,"Scenic Vista",5
"390","2020-04-06 04:15:00",9,"Broadview",4
"391","2020-04-06 04:15:00",14,"Easton",1
"392","2020-04-06 04:20:00",6,"Downtown",8
"393","2020-04-06 04:20:00",6,"Downtown",10
"394","2020-04-06 04:20:00",9,"Broadview",1
"395","2020-04-06 04:20:00",15,"Weston",2
"396","2020-04-06 04:20:00",19,"West Parton",7
"397","2020-04-06 04:25:00",2,"Northwest",1
"398","2020-04-06 04:25:00",4,"Safe Town",3
"399","2020-04-06 04:25:00",6,"Downtown",3
"400","2020-04-06 04:25:00",6,"Downtown",5
"401","2020-04-06 04:25:00",8,"Scenic Vista",2
"402","2020-04-06 04:25:00",14,"Easton",10
"403","2020-04-06 04:25:00",15,"Weston",6
"404","2020-04-06 04:30:00",6,"Downtown",2
"405","2020-04-06 04:30:00",8,"Scenic Vista",1
"406","2020-04-06 04:30:00",8,"Scenic Vista",6
"407","2020-04-06 04:30:00",9,"Broadview",1
"408","2020-04-06 04:30:00",9,"Broadview",10
"409","2020-04-06 04:30:00",10,"Chapparal",10
"410","2020-04-06 04:30:00",14,"Easton",5
"411","2020-04-06 04:30:00",15,"Weston",8
"412","2020-04-06 04:35:00",2,"Northwest",10
"413","2020-04-06 04:35:00",8,"Scenic Vista",9
"414","2020-04-06 04:35:00",14,"Easton",2
"415","2020-04-06 04:35:00",15,"Weston",6
"416","2020-04-06 04:35:00",15,"Weston",10
"417","2020-04-06 04:40:00",1,"Palace Hills",2
"418","2020-04-06 04:40:00",2,"Northwest",1
"419","2020-04-06 04:40:00",15,"Weston",6
"420","2020-04-06 04:40:00",19,"West Parton",5
"421","2020-04-06 04:45:00",5,"Southwest",6
"422","2020-04-06 04:45:00",6,"Downtown",0
"423","2020-04-06 04:45:00",8,"Scenic Vista",5
"424","2020-04-06 04:45:00",15,"Weston",3
"425","2020-04-06 04:50:00",5,"Southwest",2
"426","2020-04-06 04:50:00",14,"Easton",10
"427","2020-04-06 04:50:00",15,"Weston",4
"428","2020-04-06 04:50:00",18,"East Parton",8
"429","2020-04-06 04:55:00",8,"Scenic Vista",8
"430","2020-04-06 04:55:00",9,"Broadview",3
"431","2020-04-06 04:55:00",9,"Broadview",8
"432","2020-04-06 04:55:00",14,"Easton",7
"433","2020-04-06 05:00:00",2,"Northwest",8
"434","2020-04-06 05:00:00",2,"Northwest",3
"435","2020-04-06 05:00:00",15,"Weston",3
"436","2020-04-06 05:00:00",19,"West Parton",5
"437","2020-04-06 05:05:00",2,"Northwest",6
"438","2020-04-06 05:05:00",2,"Northwest",2
"439","2020-04-06 05:05:00",5,"Southwest",10
"440","2020-04-06 05:05:00",6,"Downtown",10
"441","2020-04-06 05:05:00",15,"Weston",5
"442","2020-04-06 05:10:00",2,"Northwest",9
"443","2020-04-06 05:10:00",6,"Downtown",8
"444","2020-04-06 05:10:00",6,"Downtown",4
"445","2020-04-06 05:10:00",6,"Downtown",10
"446","2020-04-06 05:10:00",6,"Downtown",2
"447","2020-04-06 05:10:00",12,"Pepper Mill",3
"448","2020-04-06 05:10:00",15,"Weston",10
"449","2020-04-06 05:10:00",16,"Southton",5
"450","2020-04-06 05:15:00",2,"Northwest",8
"451","2020-04-06 05:15:00",4,"Safe Town",4
"452","2020-04-06 05:15:00",5,"Southwest",8
"453","2020-04-06 05:15:00",8,"Scenic Vista",0
"454","2020-04-06 05:15:00",10,"Chapparal",10
"455","2020-04-06 05:15:00",15,"Weston",10
"456","2020-04-06 05:15:00",16,"Southton",8
"457","2020-04-06 05:15:00",18,"East Parton",0
"458","2020-04-06 05:20:00",1,"Palace Hills",5
"459","2020-04-06 05:20:00",2,"Northwest",2
"460","2020-04-06 05:20:00",3,"Old Town",9
"461","2020-04-06 05:20:00",3,"Old Town",6
"462","2020-04-06 05:20:00",6,"Downtown",5
"463","2020-04-06 05:20:00",6,"Downtown",10
"464","2020-04-06 05:20:00",8,"Scenic Vista",4
"465","2020-04-06 05:20:00",8,"Scenic Vista",0
"466","2020-04-06 05:20:00",8,"Scenic Vista",3
"467","2020-04-06 05:20:00",12,"Pepper Mill",7
"468","2020-04-06 05:20:00",14,"Easton",6
"469","2020-04-06 05:20:00",15,"Weston",3
"470","2020-04-06 05:20:00",18,"East Parton",10
"471","2020-04-06 05:25:00",4,"Safe Town",1
"472","2020-04-06 05:25:00",9,"Broadview",7
"473","2020-04-06 05:25:00",9,"Broadview",1
"474","2020-04-06 05:25:00",11,"Terrapin",5
"475","2020-04-06 05:25:00",15,"Weston",10
"476","2020-04-06 05:25:00",18,"East Parton",7
"477","2020-04-06 05:30:00",2,"Northwest",9
"478","2020-04-06 05:30:00",3,"Old Town",3
"479","2020-04-06 05:30:00",5,"Southwest",2
"480","2020-04-06 05:30:00",6,"Downtown",3
"481","2020-04-06 05:30:00",15,"Weston",4
"482","2020-04-06 05:30:00",18,"East Parton",9
"483","2020-04-06 05:35:00",3,"Old Town",3
"484","2020-04-06 05:35:00",6,"Downtown",7
"485","2020-04-06 05:35:00",6,"Downtown",10
"486","2020-04-06 05:35:00",8,"Scenic Vista",6
"487","2020-04-06 05:35:00",9,"Broadview",7
"488","2020-04-06 05:35:00",15,"Weston",1
"489","2020-04-06 05:35:00",19,"West Parton",10
"490","2020-04-06 05:40:00",3,"Old Town",9
"491","2020-04-06 05:40:00",3,"Old Town",1
"492","2020-04-06 05:40:00",3,"Old Town",4
"493","2020-04-06 05:40:00",5,"Southwest",9
"494","2020-04-06 05:40:00",6,"Downtown",8
"495","2020-04-06 05:40:00",9,"Broadview",9
"496","2020-04-06 05:40:00",15,"Weston",6
"497","2020-04-06 05:40:00",16,"Southton",1
"498","2020-04-06 05:40:00",16,"Southton",10
"499","2020-04-06 05:40:00",17,"Oak Willow",10
"500","2020-04-06 05:45:00",3,"Old Town",6
"501","2020-04-06 05:45:00",3,"Old Town",10
"502","2020-04-06 05:45:00",5,"Southwest",8
"503","2020-04-06 05:45:00",6,"Downtown",3
"504","2020-04-06 05:45:00",7,"Wilson Forest",NA
"505","2020-04-06 05:45:00",8,"Scenic Vista",1
"506","2020-04-06 05:45:00",9,"Broadview",8
"507","2020-04-06 05:45:00",9,"Broadview",10
"508","2020-04-06 05:45:00",9,"Broadview",10
"509","2020-04-06 05:45:00",14,"Easton",7
"510","2020-04-06 05:45:00",15,"Weston",3
"511","2020-04-06 05:50:00",8,"Scenic Vista",8
"512","2020-04-06 05:50:00",15,"Weston",10
"513","2020-04-06 05:50:00",15,"Weston",4
"514","2020-04-06 05:50:00",18,"East Parton",6
"515","2020-04-06 05:55:00",2,"Northwest",9
"516","2020-04-06 05:55:00",4,"Safe Town",5
"517","2020-04-06 05:55:00",5,"Southwest",3
"518","2020-04-06 05:55:00",6,"Downtown",1
"519","2020-04-06 05:55:00",6,"Downtown",4
"520","2020-04-06 05:55:00",9,"Broadview",6
"521","2020-04-06 05:55:00",14,"Easton",9
"522","2020-04-06 05:55:00",15,"Weston",10
"523","2020-04-06 05:55:00",16,"Southton",0
"524","2020-04-06 05:55:00",18,"East Parton",10
"525","2020-04-06 06:00:00",2,"Northwest",3
"526","2020-04-06 06:00:00",3,"Old Town",10
"527","2020-04-06 06:00:00",8,"Scenic Vista",9
